,Fecha extrac,Enlace,Marca,Modelo,Precio,Localización,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes
9438,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-g-e6d-temp-83-kw-112-cv-5m-t-acenta-gasolina-gris-8a84afec-db16-4de3-acd2-fc46074ca36d,Nissan,Juke,14790.0,https://maps.google.com/?q=AV.%20DE%20AR%C3%93STEGUI%2C%2030%2C%2031009%20PAMPLONA%2C%20ES,113,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,21113,2019,Manual,2979.0,11.9,Gris,Gris,Tracción a las cuatro ruedas,5,8,6,2109.0,Gasolina,2
9439,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-q-2-1-5dci-tekna-sport-4x2-18-diesel-negro-856aa0b4-a88d-4b52-b3c9-6ac678fb8f0e,Nissan,Qashqai,10999.0,https://maps.google.com/?q=C.%20Arroyo%20Total%C3%A1n%2C%2036%2C%2029730%20Rinc%C3%B3n%20de%20la%20Victoria%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,146906,2013,Manual,1580.0,1.7,Negro,Negro,Tracción delantera,5,6,4,1519.0,Gasolina,5
9440,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-2-dig-t-acenta-115-5p-gasolina-blanco-8f152377-4663-4b55-8686-e8893390c5e1,Nissan,Qashqai,15000.0,https://maps.google.com/?q=-%2C%2002001%20ALBACETE%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,72850,2018,Manual,1600.0,5.6,Blanco,Blanco,Tracción delantera,5,6,3,1347.0,Diésel,6
9441,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-7-dci-acenta-110kw-4wd-150-5p-diesel-blanco-b314f3ea-22d6-4ab4-950b-43f443a4824f,Nissan,Qashqai,159091.0,https://maps.google.com/?q=BURGOS%2C%2009001%20BURGOS%2C%20ES,150,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,86862,2019,Manual,2151.0,5.6,Blanco,Blanco,Tracción a las cuatro ruedas,5,1,4,2585.0,Eléctrico,9
9442,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-q-2-1-5dci-tekna-sport-4x2-18-diesel-negro-2ffa5132-af0a-48d4-90bd-53365d5a8572,Nissan,Qashqai,10999.0,https://maps.google.com/?q=AVENIDA%20DE%20DENIA%20(CENTRO%20COMERCIAL%20PLAZA%20MAR%202)%2C%2003016%20ALICANTE%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,146906,2013,Manual,2151.0,5.6,Negro,Negro,Tracción delantera,5,8,4,1757.0,Diésel,5
9443,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-7-dci-acenta-110kw-4wd-150-5p-diesel-blanco-697a8b0b-cccf-46b6-a43a-94c7b5092909,Nissan,Qashqai,168181.0,https://maps.google.com/?q=CIUDAD%20REAL%2C%2013001%20CIUDAD%20REAL%2C%20ES,150,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,52365,2019,Manual,1598.0,5.6,Blanco,Blanco,Tracción delantera,5,6,4,1451.0,Gasolina,9
9444,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-q-2-1-6-acenta-4x2-gasolina-gris-a7311458-4243-49af-8f4e-ac31ede32a67,Nissan,Qashqai,10599.0,https://maps.google.com/?q=Presagana%20Kalea%2C%203%2C%2C%2048970%20Basauri%2C%2C%20ES,117,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,67066,2012,Manual,998.0,6.1,Gris,Gris,Tracción delantera,5,5,4,1080.0,Gasolina,9
9445,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-ig-t-s-s-acenta-90-gasolina-gris-751f22a0-65bb-451c-8327-c18d869dd027,Nissan,Micra,10680.0,https://maps.google.com/?q=AVENIDA%20GARC%C3%8DA%20MORATO%2C%20S%2FN%2C%2041001%20SEVILLA%2C%20ES,90,Prof.,Coche pequeño,Ocasión,5,España,12,64745,2019,Manual,1987.0,4.1,Gris,Gris,Tracción delantera,5,1,4,1615.0,Gasolina,3
9446,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-1-5dci-tekna-premium-diesel-gris-3038b163-477b-466d-b1b6-4049e939b3f5,Nissan,Juke,9899.0,https://maps.google.com/?q=Plaza%20de%20Europa%2C%20S%2FN%20Centro%20Comercial%20Gran%20Turia%2C%20L-256%2C%20257%2C%2046014%20Valencia%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,76368,2012,Manual,1477.0,11.9,Gris,Gris,Tracción delantera,5,7,3,1670.2021276595744,Otros,11
9447,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-1-5dci-s-s-acenta-90-diesel-gris-7358d454-2f2c-4686-abd6-962e2250c28e,Nissan,Micra,12490.0,https://maps.google.com/?q=CARRETERA%20FUENCARRAL%20A%20HORTALEZA%2089%20D%2C%2028050%20MADRID%2C%20ES,90,Prof.,Coche pequeño,Ocasión,5,España,12,46861,2019,Manual,1477.0,1.2,Gris,Gris,Tracción delantera,5,7,3,1670.2021276595744,Otros,5
